,ar_noaanum,event_starttime,event_peaktime,event_endtime,fl_goescls,obs_instrument,obs_title,event_coord1,event_coord2,event_coord3,event_coordsys,event_coordunit,event_description,boundbox_c1ll,boundbox_c1ur,hrc_bbox,hrc_boundcc,hrc_coord,hgc_bbox,hgc_boundcc,hgc_coord,hgc_x,hgc_y,hgs_bbox,hgs_boundcc,hgs_coord,hgs_x,hgs_y,hpc_bbox,hpc_boundcc,hpc_coord,hpc_geom,hpc_radius,hpc_x,hpc_y,hrc_a,hrc_bbox,hrc_boundcc,hrc_coord,hrc_r,fl_efoldtime,fl_efoldtimeunit,fl_fluence,fl_fluenceunit,fl_halphaclass,fl_peakem,fl_peakemunit,fl_peakflux,fl_peakfluxunit,fl_peaktemp,fl_peaktempunit,flux
0,0,2012-12-01T06:07:00,2012-12-01T06:10:00,2012-12-01T06:12:00,B6.2,GOES,,0,0,,UTC-HGS-TOPO,degrees,,-90.0,90.0,"POLYGON((0.999828 180.000005,0.999828 179.999995,0.999964 0,0.999964 0,0.999828 180.000005))",,POINT(0.0143331665146984 180),"POLYGON((-77.825076 -89.9,101.974924 -89.9,101.974924 89.9,-77.825076 89.9,-77.825076 -89.9))",,POINT(12.074924 0),12.074924,0,"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",,POINT(0 0),0,0,"POLYGON((8.5e-05 -972.426,-8.5e-05 -972.426,0 972.558,-0 972.558,8.5e-05 -972.426))",,POINT(0 -13.94034),,13.9403399999999991,0.0,-13.94034,180.0,"POLYGON((0.999828 180.000005,0.999828 179.999995,0.999964 0,0.999964 0,0.999828 180.000005))",,POINT(0.0143331665146984 180),0.0143331665147,,,,,,,,,,,,6.2e-07 W / m2
1,11625,2012-12-01T08:31:00,2012-12-01T08:36:00,2012-12-01T08:44:00,C1.3,GOES,,-33,13,,UTC-HGS-TOPO,degrees,,-33.5,-32.5,"POLYGON((0.578759 69.172699,0.565351 68.668112,0.569842 66.987277,0.583044 67.524408,0.578759 69.172699))",,POINT(0.574223867412557 68.0887457819165),"POLYGON((-22.742943 12.5,-21.742943 12.5,-21.742943 13.5,-22.742943 13.5,-22.742943 12.5))",,POINT(-22.242943 13),-22.242943,13,"POLYGON((-33.5 12.5,-32.5 12.5,-32.5 13.5,-33.5 13.5,-33.5 12.5))",,POINT(-33 13),-33,13,"POLYGON((-526.1238 200.1426,-512.1936 200.0244,-510.1266 216.6696,-524.0004 216.7866,-526.1238 200.1426))",,POINT(-518.151 208.4136),0103000000010000000500000091ED7C3F351381C0053411363C85664091ED7C3F351381C0053411363C956D4022DBF97E6A9E7EC0053411363C956D4022DBF97E6A9E7EC0053411363C85664091ED7C3F351381C0053411363C856640,558.495020090564481,-518.151,208.4136,68.0887457819,"POLYGON((0.578759 69.172699,0.565351 68.668112,0.569842 66.987277,0.583044 67.524408,0.578759 69.172699))",,POINT(0.574223867412557 68.0887457819165),0.574223867413,,,,,,,,,,,,1.3e-06 W / m2
2,11620,2012-12-01T09:14:00,2012-12-01T09:17:00,2012-12-01T09:20:00,B6.2,GOES,,0,0,,UTC-HGS-TOPO,degrees,,-90.0,90.0,"POLYGON((0.999838 180.000005,0.999838 179.999995,0.999968 0,0.999968 0,0.999838 180.000005))",,POINT(0.0140437963264899 180),"POLYGON((-79.536472 -89.9,100.263528 -89.9,100.263528 89.9,-79.536472 89.9,-79.536472 -89.9))",,POINT(10.363528 0),10.363528,0,"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",,POINT(0 0),0,0,"POLYGON((8.5e-05 -972.456,-8.5e-05 -972.456,0 972.582,-0 972.582,8.5e-05 -972.456))",,POINT(0 -13.65918),,13.6591799999999992,0.0,-13.65918,180.0,"POLYGON((0.999838 180.000005,0.999838 179.999995,0.999968 0,0.999968 0,0.999838 180.000005))",,POINT(0.0140437963264899 180),0.0140437963265,,,,,,,,,,,,6.2e-07 W / m2
3,11620,2012-12-01T10:17:00,2012-12-01T10:30:00,2012-12-01T10:42:00,C1.9,GOES,,0,0,,UTC-HGS-TOPO,degrees,,-90.0,90.0,"POLYGON((0.999838 180.000005,0.999838 179.999995,0.999967 0,0.999967 0,0.999838 180.000005))",,POINT(0.0139462928452122 180),"POLYGON((-80.113037 -89.9,99.686963 -89.9,99.686963 89.9,-80.113037 89.9,-80.113037 -89.9))",,POINT(9.7869623 0),9.7869623,0,"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",,POINT(0 0),0,0,"POLYGON((8.5e-05 -972.462,-8.5e-05 -972.462,0 972.588,-0 972.588,8.5e-05 -972.462))",,POINT(0 -13.56444),,13.5644399999999994,0.0,-13.56444,180.0,"POLYGON((0.999838 180.000005,0.999838 179.999995,0.999967 0,0.999967 0,0.999838 180.000005))",,POINT(0.0139462928452122 180),0.0139462928452,,,,,,,,,,,,1.9e-06 W / m2
4,0,2012-12-01T15:26:00,2012-12-01T15:30:00,2012-12-01T15:35:00,B4.4,GOES,,0,0,,UTC-HGS-TOPO,degrees,,-90.0,90.0,"POLYGON((0.999847 180.000005,0.999847 179.999995,0.999971 0,0.999971 0,0.999847 180.000005))",,POINT(0.013467874308805 180),"POLYGON((-82.940947 -89.9,96.859053 -89.9,96.859053 89.9,-82.940947 89.9,-82.940947 -89.9))",,POINT(6.9590528 0),6.9590528,0,"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",,POINT(0 0),0,0,"POLYGON((8.5e-05 -972.504,-8.5e-05 -972.504,0 972.624,-0 972.624,8.5e-05 -972.504))",,POINT(0 -13.09956),,13.0995600000000003,0.0,-13.09956,180.0,"POLYGON((0.999847 180.000005,0.999847 179.999995,0.999971 0,0.999971 0,0.999847 180.000005))",,POINT(0.013467874308805 180),0.0134678743088,,,,,,,,,,,,4.4e-07 W / m2
5,11625,2012-12-01T15:55:00,2012-12-01T16:01:00,2012-12-01T16:07:00,B7.1,GOES,,0,0,,UTC-HGS-TOPO,degrees,,-90.0,90.0,"POLYGON((0.99985 180.000005,0.99985 179.999995,0.999974 0,0.999974 0,0.99985 180.000005))",,POINT(0.0134229240873101 180),"POLYGON((-83.206349 -89.9,96.593651 -89.9,96.593651 89.9,-83.206349 89.9,-83.206349 -89.9))",,POINT(6.6936509 0),6.6936509,0,"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",,POINT(0 0),0,0,"POLYGON((8.5e-05 -972.51,-8.5e-05 -972.51,0 972.63,-0 972.63,8.5e-05 -972.51))",,POINT(0 -13.05588),,13.0558800000000002,0.0,-13.05588,180.0,"POLYGON((0.99985 180.000005,0.99985 179.999995,0.999974 0,0.999974 0,0.99985 180.000005))",,POINT(0.0134229240873101 180),0.0134229240873,,,,,,,,,,,,7.1e-07 W / m2
6,0,2012-12-01T21:27:00,2012-12-01T21:42:00,2012-12-01T21:49:00,C1.1,GOES,,0,0,,UTC-HGS-TOPO,degrees,,-90.0,90.0,"POLYGON((0.999858 180.000005,0.999858 179.999995,0.999975 0,0.999975 0,0.999858 180.000005))",,POINT(0.0129086117338142 180),"POLYGON((-86.244735 -89.9,93.555265 -89.9,93.555265 89.9,-86.244735 89.9,-86.244735 -89.9))",,POINT(3.6552644 0),3.6552644,0,"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",,POINT(0 0),0,0,"POLYGON((8.5e-05 -972.552,-8.5e-05 -972.552,0 972.666,-0 972.666,8.5e-05 -972.552))",,POINT(0 -12.55608),,12.5560800000000015,0.0,-12.55608,180.0,"POLYGON((0.999858 180.000005,0.999858 179.999995,0.999975 0,0.999975 0,0.999858 180.000005))",,POINT(0.0129086117338142 180),0.0129086117338,,,,,,,,,,,,1.1e-06 W / m2
7,11625,2012-12-01T22:37:00,2012-12-01T22:59:00,2012-12-01T23:06:00,B9.4,GOES,,0,0,,UTC-HGS-TOPO,degrees,,-90.0,90.0,"POLYGON((0.999857 180.000005,0.999857 179.999995,0.99998 0,0.99998 0,0.999857 180.000005))",,POINT(0.0128001359682766 180),"POLYGON((-86.885357 -89.9,92.914643 -89.9,92.914643 89.9,-86.885357 89.9,-86.885357 -89.9))",,POINT(3.0146425 0),3.0146425,0,"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",,POINT(0 0),0,0,"POLYGON((8.5e-05 -972.558,-8.5e-05 -972.558,0 972.678,-0 972.678,8.5e-05 -972.558))",,POINT(0 -12.45066),,12.4506599999999992,0.0,-12.45066,180.0,"POLYGON((0.999857 180.000005,0.999857 179.999995,0.99998 0,0.99998 0,0.999857 180.000005))",,POINT(0.0128001359682766 180),0.0128001359683,,,,,,,,,,,,9.4e-07 W / m2
8,0,2012-12-02T00:18:00,2012-12-02T00:21:00,2012-12-02T00:25:00,B3.4,GOES,,0,0,,UTC-HGS-TOPO,degrees,,-90.0,90.0,"POLYGON((0.999864 180.000005,0.999864 179.999995,0.999982 0,0.999982 0,0.999864 180.000005))",,POINT(0.0126436302085236 180),"POLYGON((-87.809682 -89.9,91.990318 -89.9,91.990318 89.9,-87.809682 89.9,-87.809682 -89.9))",,POINT(2.0903178 0),2.0903178,0,"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",,POINT(0 0),0,0,"POLYGON((8.5e-05 -972.576,-8.5e-05 -972.576,0 972.69,-0 972.69,8.5e-05 -972.576))",,POINT(0 -12.29856),,12.2985600000000002,0.0,-12.29856,180.0,"POLYGON((0.999864 180.000005,0.999864 179.999995,0.999982 0,0.999982 0,0.999864 180.000005))",,POINT(0.0126436302085236 180),0.0126436302085,,,,,,,,,,,,3.4e-07 W / m2
9,11623,2012-12-02T13:57:00,2012-12-02T14:01:00,2012-12-02T14:04:00,B2.8,GOES,,0,0,,UTC-HGS-TOPO,degrees,,-90.0,90.0,"POLYGON((0.999883 180.000005,0.999883 179.999995,0.999987 0,0.999987 0,0.999883 180.000005))",,POINT(0.0113734466903301 180),"POLYGON((-95.3049 -89.9,84.4951 -89.9,84.4951 89.9,-95.3049 89.9,-95.3049 -89.9))",,POINT(-5.4049 0),-5.4049,0,"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",,POINT(0 0),0,0,"POLYGON((8.5e-05 -972.678,-8.5e-05 -972.678,0 972.78,-0 972.78,8.5e-05 -972.678))",,POINT(0 -11.064),,11.0640000000000001,0.0,-11.064,180.0,"POLYGON((0.999883 180.000005,0.999883 179.999995,0.999987 0,0.999987 0,0.999883 180.000005))",,POINT(0.0113734466903301 180),0.0113734466903,,,,,,,,,,,,2.8e-07 W / m2
