,ar_noaanum,event_starttime,event_peaktime,event_endtime,fl_goescls,obs_instrument,obs_title,event_coord1,event_coord2,boundbox_c1ll,boundbox_c1ur,hrc_bbox,hrc_boundcc,hrc_coord,hgc_bbox,hgc_boundcc,hgc_coord,hgc_x,hgc_y,hgs_bbox,hgs_boundcc,hgs_coord,hgs_x,hgs_y,hpc_bbox,hpc_boundcc,hpc_coord,hpc_geom,hpc_radius,hpc_x,hpc_y,hrc_a,hrc_bbox,hrc_boundcc,hrc_coord,hrc_r,flux
0,12152,2014-09-01T05:43:00,2014-09-01T05:49:00,2014-09-01T05:55:00,B8.3,GOES,,-13,-14,-13.5,-12.5,"POLYGON((0.432186 148.322868,0.42416 150.257743,0.410524 149.01407,0.418906 147.032801,0.432186 148.322868))",,POINT(0.421381260423676 148.656788433616),"POLYGON((-155.87794 -14.5,-154.87794 -14.5,-154.87794 -13.5,-155.87794 -13.5,-155.87794 -14.5))",,POINT(-155.37794 -14),-155.37794,-14,"POLYGON((-13.5 -14.5,-12.5 -14.5,-12.5 -13.5,-13.5 -13.5,-13.5 -14.5))",,POINT(-13 -14),-13,-14,"POLYGON((-215.6448 -349.4706,-199.9392 -349.9308,-200.817 -334.4016,-216.5916 -333.9402,-215.6448 -349.4706))",,POINT(-208.2642 -341.9532),010300000001000000050000004EF38E5374286DC0C2A8A44E40EF76C04EF38E5374286DC0C2A8A44E40CF73C04EF38E5374E866C0C2A8A44E40CF73C04EF38E5374E866C0C2A8A44E40EF76C04EF38E5374286DC0C2A8A44E40EF76C0,400.382277319913385,-208.2642,-341.9532,148.656788434,"POLYGON((0.432186 148.322868,0.42416 150.257743,0.410524 149.01407,0.418906 147.032801,0.432186 148.322868))",,POINT(0.421381260423676 148.656788433616),0.421381260424,8.3e-07 W / m2
1,12149,2014-09-01T06:40:00,2014-09-01T07:44:00,2014-09-01T08:22:00,C2.1,GOES,,0,0,-89.9000015259,89.9000015259,"POLYGON((0.991562 179.899204,0.991562 180.100796,0.992705 359.899208,0.992705 0.100792,0.991562 179.899204))",,POINT(0.125780994002844 180),"POLYGON((127.19919 -89.9,-53.00081 -89.9,-53.00081 89.9,127.19919 89.9,127.19919 -89.9))",,POINT(-142.90081 0),-142.90081,0,"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",,POINT(0 0),0,0,"POLYGON((-1.657464 -942.156,1.657464 -942.156,1.659312 943.242,-1.659312 943.242,-1.657464 -942.156))",,POINT(0 -119.514),,119.513999999999996,0.0,-119.514,180.0,"POLYGON((0.991562 179.899204,0.991562 180.100796,0.992705 359.899208,0.992705 0.100792,0.991562 179.899204))",,POINT(0.125780994002844 180),0.125780994003,2.1e-06 W / m2
2,12149,2014-09-01T10:20:00,2014-09-01T10:26:00,2014-09-01T10:36:00,C1.4,GOES,,0,0,-89.9000015259,89.9000015259,"POLYGON((0.991557 179.899204,0.991557 180.100796,0.9927 359.899207,0.9927 0.100793,0.991557 179.899204))",,POINT(0.125821829906266 180),"POLYGON((125.1811 -89.9,-55.0189 -89.9,-55.0189 89.9,125.1811 89.9,125.1811 -89.9))",,POINT(-144.9189 0),-144.9189,0,"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",,POINT(0 0),0,0,"POLYGON((-1.657524 -942.186,1.657524 -942.186,1.659372 943.272,-1.659372 943.272,-1.657524 -942.186))",,POINT(0 -119.5572),,119.557200000000009,0.0,-119.5572,180.0,"POLYGON((0.991557 179.899204,0.991557 180.100796,0.9927 359.899207,0.9927 0.100793,0.991557 179.899204))",,POINT(0.125821829906266 180),0.125821829906,1.4e-06 W / m2
3,12152,2014-09-01T15:27:00,2014-09-01T16:04:00,2014-09-01T17:11:00,C1.7,GOES,,-5,-13,-5.5,-4.5,"POLYGON((0.366557 165.205776,0.362778 167.806913,0.346792 167.182852,0.350786 164.45983,0.366557 165.205776))",,POINT(0.356644699254689 166.163919341905),"POLYGON((-153.23503 -13.5,-152.23503 -13.5,-152.23503 -12.5,-153.23503 -12.5,-153.23503 -13.5))",,POINT(-152.73503 -13),-152.73503,-13,"POLYGON((-5.5 -13.5,-4.5 -13.5,-4.5 -12.5,-5.5 -12.5,-5.5 -13.5))",,POINT(-5 -13),-5,-13,"POLYGON((-88.944 -336.777,-72.81 -336.9564,-73.1058 -321.3312,-89.3058 -321.1518,-88.944 -336.777))",,POINT(-81.0474 -329.0712),010300000001000000050000002575029A08935BC09A779CA2236576C02575029A08935BC09A779CA223BD72C04AEA043411E649C09A779CA223BD72C04AEA043411E649C09A779CA2236576C02575029A08935BC09A779CA2236576C0,338.904906598001276,-81.0474,-329.0712,166.163919342,"POLYGON((0.366557 165.205776,0.362778 167.806913,0.346792 167.182852,0.350786 164.45983,0.366557 165.205776))",,POINT(0.356644699254689 166.163919341905),0.356644699255,1.7e-06 W / m2
4,12152,2014-09-01T18:03:00,2014-09-01T18:26:00,2014-09-01T20:00:00,C1.6,GOES,,0,0,-89.9000015259,89.9000015259,"POLYGON((0.991543 179.899202,0.991543 180.100798,0.992686 359.899206,0.992686 0.100794,0.991543 179.899202))",,POINT(0.125904244066635 180),"POLYGON((120.93398 -89.9,-59.26602 -89.9,-59.26602 89.9,120.93398 89.9,120.93398 -89.9))",,POINT(-149.16602 0),-149.16602,0,"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",,POINT(0 0),0,0,"POLYGON((-1.657656 -942.246,1.657656 -942.246,1.659498 943.332,-1.659498 943.332,-1.657656 -942.246))",,POINT(0 -119.6448),,119.644800000000004,0.0,-119.6448,180.0,"POLYGON((0.991543 179.899202,0.991543 180.100798,0.992686 359.899206,0.992686 0.100794,0.991543 179.899202))",,POINT(0.125904244066635 180),0.125904244067,1.6e-06 W / m2
5,0,2014-09-02T00:09:00,2014-09-02T00:16:00,2014-09-02T00:24:00,C2.3,GOES,,0,0,-89.9000015259,89.9000015259,"POLYGON((0.991532 179.899201,0.991532 180.100799,0.992681 359.899206,0.992681 0.100794,0.991532 179.899201))",,POINT(0.125967202501843 180),"POLYGON((117.57668 -89.9,-62.62332 -89.9,-62.62332 89.9,117.57668 89.9,117.57668 -89.9))",,POINT(-152.52332 0),-152.52332,0,"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",,POINT(0 0),0,0,"POLYGON((-1.657752 -942.294,1.657752 -942.294,1.6596 943.386,-1.6596 943.386,-1.657752 -942.294))",,POINT(0 -119.712),,119.712000000000003,0.0,-119.712,180.0,"POLYGON((0.991532 179.899201,0.991532 180.100799,0.992681 359.899206,0.992681 0.100794,0.991532 179.899201))",,POINT(0.125967202501843 180),0.125967202502,2.3e-06 W / m2
6,12152,2014-09-02T00:50:00,2014-09-02T00:59:00,2014-09-02T01:05:00,C2.6,GOES,,1,-13,0.5,1.5,"POLYGON((0.355165 181.374951,0.355944 184.118538,0.339556 184.335272,0.33873 181.447531,0.355165 181.374951))",,POINT(0.34726202512559 182.819063071078),"POLYGON((-152.39941 -13.5,-151.39941 -13.5,-151.39941 -12.5,-152.39941 -12.5,-152.39941 -13.5))",,POINT(-151.89941 -13),-151.89941,-13,"POLYGON((0.5 -13.5,1.5 -13.5,1.5 -12.5,0.5 -12.5,0.5 -13.5))",,POINT(1 -13),1,-13,"POLYGON((8.0991 -337.434,24.29472 -337.398,24.39348 -321.7734,8.13198 -321.8094,8.0991 -337.434))",,POINT(16.23108 -329.6208),010300000001000000050000000C7BDAE1AF892EC0B615FBCBEE9176C00C7BDAE1AF892EC0B615FBCBEEA172C03D61890794DD4740B615FBCBEEA172C03D61890794DD4740B615FBCBEE9176C00C7BDAE1AF892EC0B615FBCBEE9176C0,330.020180823243663,16.23108,-329.6208,182.819063071,"POLYGON((0.355165 181.374951,0.355944 184.118538,0.339556 184.335272,0.33873 181.447531,0.355165 181.374951))",,POINT(0.34726202512559 182.819063071078),0.347262025126,2.6e-06 W / m2
7,0,2014-09-02T12:04:00,2014-09-02T12:09:00,2014-09-02T12:16:00,C2.2,GOES,,0,0,-89.9000015259,89.9000015259,"POLYGON((0.99152 179.8992,0.99152 180.1008,0.992669 359.899204,0.992669 0.100796,0.99152 179.8992))",,POINT(0.126082658957172 180),"POLYGON((111.01812 -89.9,-69.18188 -89.9,-69.18188 89.9,111.01812 89.9,111.01812 -89.9))",,POINT(-159.08188 0),-159.08188,0,"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",,POINT(0 0),0,0,"POLYGON((-1.657956 -942.396,1.657956 -942.396,1.659804 943.488,-1.659804 943.488,-1.657956 -942.396))",,POINT(0 -119.8362),,119.836200000000005,0.0,-119.8362,180.0,"POLYGON((0.99152 179.8992,0.99152 180.1008,0.992669 359.899204,0.992669 0.100796,0.99152 179.8992))",,POINT(0.126082658957172 180),0.126082658957,2.2e-06 W / m2
8,12152,2014-09-02T13:10:00,2014-09-02T13:15:00,2014-09-02T13:23:00,C3.7,GOES,,7,-13,6.5,7.5,"POLYGON((0.371225 197.325329,0.37636 199.796373,0.361114 200.757419,0.355702 198.183205,0.371225 197.325329))",,POINT(0.366020232873011 199.015558680705),"POLYGON((-153.18728 -13.5,-152.18728 -13.5,-152.18728 -12.5,-153.18728 -12.5,-153.18728 -13.5))",,POINT(-152.68728 -13),-152.68728,-13,"POLYGON((6.5 -13.5,7.5 -13.5,7.5 -12.5,6.5 -12.5,6.5 -13.5))",,POINT(7 -13),7,-13,"POLYGON((105.0738 -336.8286,121.1514 -336.5778,121.644 -320.9484,105.501 -321.2004,105.0738 -336.8286))",,POINT(113.3514 -328.9062),010300000001000000050000001FF46C567DC653402A3A92CB7FB276C01FF46C567DC653402A3A92CB7F6A72C0107A36AB3E7362402A3A92CB7F6A72C0107A36AB3E7362402A3A92CB7FB276C01FF46C567DC653402A3A92CB7FB276C0,347.89054065955861,113.3514,-328.9062,199.015558681,"POLYGON((0.371225 197.325329,0.37636 199.796373,0.361114 200.757419,0.355702 198.183205,0.371225 197.325329))",,POINT(0.366020232873011 199.015558680705),0.366020232873,3.7e-06 W / m2
9,0,2014-09-02T20:56:00,2014-09-02T21:00:00,2014-09-02T21:04:00,C2.9,GOES,,0,0,-89.9000015259,89.9000015259,"POLYGON((0.991512 179.899199,0.991512 180.100801,0.992655 359.899203,0.992655 0.100797,0.991512 179.899199))",,POINT(0.126163432056738 180),"POLYGON((106.13827 -89.9,-74.06173 -89.9,-74.06173 89.9,106.13827 89.9,106.13827 -89.9))",,POINT(-163.96173 0),-163.96173,0,"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",,POINT(0 0),0,0,"POLYGON((-1.658106 -942.474,1.658106 -942.474,1.659954 943.56,-1.659954 943.56,-1.658106 -942.474))",,POINT(0 -119.9238),,119.9238,0.0,-119.9238,180.0,"POLYGON((0.991512 179.899199,0.991512 180.100801,0.992655 359.899203,0.992655 0.100797,0.991512 179.899199))",,POINT(0.126163432056738 180),0.126163432057,2.9e-06 W / m2
