,end_time,event_date,goes_class,goes_location,noaa_active_region,peak_time,start_time,flux
0,2015-11-01 00:05:00,2015-10-31,C2.7,"(0, 0)",12443,2015-10-31 23:59:00,2015-10-31 23:54:00,2.7e-06 W / m2
1,2015-11-01 00:30:00,2015-11-01,C6.5,"(-45, 6)",12443,2015-11-01 00:27:00,2015-11-01 00:22:00,6.5e-06 W / m2
2,2015-11-01 01:20:00,2015-11-01,C6.2,"(-45, 6)",12443,2015-11-01 01:15:00,2015-11-01 01:11:00,6.2e-06 W / m2
3,2015-11-01 02:03:00,2015-11-01,C1.5,"(0, 0)",12443,2015-11-01 01:58:00,2015-11-01 01:55:00,1.5e-06 W / m2
4,2015-11-01 03:44:00,2015-11-01,C5.6,"(-44, 6)",12443,2015-11-01 03:39:00,2015-11-01 03:35:00,5.6e-06 W / m2
5,2015-11-01 05:15:00,2015-11-01,C1.8,"(-43, 6)",12443,2015-11-01 05:12:00,2015-11-01 05:05:00,1.8e-06 W / m2
6,2015-11-01 06:54:00,2015-11-01,C2.4,"(-43, 6)",12443,2015-11-01 06:28:00,2015-11-01 06:22:00,2.4e-06 W / m2
7,2015-11-01 09:26:00,2015-11-01,C1.1,"(-40, 6)",12443,2015-11-01 09:21:00,2015-11-01 09:17:00,1.1e-06 W / m2
8,2015-11-01 10:27:00,2015-11-01,B9.2,"(0, 0)",12443,2015-11-01 10:21:00,2015-11-01 10:18:00,9.2e-07 W / m2
9,2015-11-01 12:10:00,2015-11-01,C1.3,"(0, 0)",12443,2015-11-01 12:06:00,2015-11-01 12:03:00,1.3e-06 W / m2
10,2015-11-01 13:01:00,2015-11-01,C1.0,"(0, 0)",12443,2015-11-01 12:59:00,2015-11-01 12:55:00,1e-06 W / m2
11,2015-11-01 16:54:00,2015-11-01,C5.0,"(-39, 6)",12443,2015-11-01 16:43:00,2015-11-01 16:33:00,5e-06 W / m2
12,2015-11-01 18:30:00,2015-11-01,C6.3,"(-39, 6)",12443,2015-11-01 18:03:00,2015-11-01 17:34:00,6.3e-06 W / m2
13,2015-11-01 19:56:00,2015-11-01,C1.8,"(-30, 8)",12443,2015-11-01 19:42:00,2015-11-01 19:36:00,1.8e-06 W / m2
14,2015-11-01 20:30:00,2015-11-01,C4.9,"(-30, 8)",12443,2015-11-01 20:23:00,2015-11-01 20:11:00,4.9e-06 W / m2
15,2015-11-01 23:51:00,2015-11-01,C6.4,"(-35, 7)",12443,2015-11-01 23:14:00,2015-11-01 21:29:00,6.4e-06 W / m2
16,2015-11-02 01:02:00,2015-11-02,C6.3,"(44, 16)",12445,2015-11-02 00:50:00,2015-11-02 00:45:00,6.3e-06 W / m2
17,2015-11-02 05:17:00,2015-11-02,C2.2,"(46, 15)",12445,2015-11-02 05:12:00,2015-11-02 05:06:00,2.2e-06 W / m2
18,2015-11-02 06:15:00,2015-11-02,C1.2,"(46, 14)",12445,2015-11-02 06:07:00,2015-11-02 06:03:00,1.2e-06 W / m2
19,2015-11-02 06:47:00,2015-11-02,C3.3,"(47, 15)",12445,2015-11-02 06:37:00,2015-11-02 06:31:00,3.3e-06 W / m2
20,2015-11-02 10:14:00,2015-11-02,C7.2,"(49, 13)",12445,2015-11-02 10:00:00,2015-11-02 09:50:00,7.2e-06 W / m2
21,2015-11-02 11:02:00,2015-11-02,C1.3,"(0, 0)",0,2015-11-02 11:00:00,2015-11-02 10:57:00,1.3e-06 W / m2
22,2015-11-02 13:29:00,2015-11-02,C1.8,"(49, 13)",12445,2015-11-02 13:19:00,2015-11-02 13:12:00,1.8e-06 W / m2
23,2015-11-02 15:12:00,2015-11-02,C5.0,"(-23, 10)",12443,2015-11-02 15:00:00,2015-11-02 14:29:00,5e-06 W / m2
24,2015-11-02 17:36:00,2015-11-02,C2.0,"(0, 0)",12445,2015-11-02 17:33:00,2015-11-02 17:29:00,2e-06 W / m2
25,2015-11-03 01:12:00,2015-11-03,C2.3,"(-17, 6)",12443,2015-11-03 00:53:00,2015-11-03 00:39:00,2.3e-06 W / m2
26,2015-11-03 14:04:00,2015-11-03,C1.4,"(-12, 7)",12443,2015-11-03 14:00:00,2015-11-03 13:55:00,1.4e-06 W / m2
27,2015-11-03 17:05:00,2015-11-03,C3.9,"(63, 17)",12445,2015-11-03 17:00:00,2015-11-03 16:54:00,3.9e-06 W / m2
28,2015-11-03 18:23:00,2015-11-03,B9.4,"(0, 0)",0,2015-11-03 18:20:00,2015-11-03 18:14:00,9.4e-07 W / m2
29,2015-11-03 19:31:00,2015-11-03,C5.5,"(-10, 7)",12443,2015-11-03 19:09:00,2015-11-03 18:43:00,5.5e-06 W / m2
30,2015-11-03 22:00:00,2015-11-03,B9.8,"(-10, 7)",12443,2015-11-03 21:56:00,2015-11-03 21:51:00,9.8e-07 W / m2
31,2015-11-03 23:39:00,2015-11-03,C1.7,"(63, 17)",12445,2015-11-03 23:35:00,2015-11-03 23:29:00,1.7e-06 W / m2
32,2015-11-04 00:37:00,2015-11-04,C3.0,"(63, 15)",12445,2015-11-04 00:32:00,2015-11-04 00:25:00,3e-06 W / m2
33,2015-11-04 01:22:00,2015-11-04,B9.1,"(0, 0)",12445,2015-11-04 01:20:00,2015-11-04 01:17:00,9.1e-07 W / m2
34,2015-11-04 01:29:00,2015-11-04,B9.9,"(0, 0)",12445,2015-11-04 01:27:00,2015-11-04 01:24:00,9.9e-07 W / m2
35,2015-11-04 02:49:00,2015-11-04,C1.1,"(0, 0)",12443,2015-11-04 02:18:00,2015-11-04 02:01:00,1.1e-06 W / m2
36,2015-11-04 03:29:00,2015-11-04,M1.9,"(64, 15)",12445,2015-11-04 03:26:00,2015-11-04 03:20:00,1.9e-05 W / m2
37,2015-11-04 04:05:00,2015-11-04,C1.4,"(1, 7)",12443,2015-11-04 03:59:00,2015-11-04 03:53:00,1.4e-06 W / m2
38,2015-11-04 04:59:00,2015-11-04,C1.0,"(64, 15)",12445,2015-11-04 04:56:00,2015-11-04 04:50:00,1e-06 W / m2
39,2015-11-04 09:04:00,2015-11-04,C4.6,"(65, 17)",12445,2015-11-04 09:00:00,2015-11-04 08:47:00,4.6e-06 W / m2
40,2015-11-04 09:27:00,2015-11-04,B9.6,"(65, 17)",12445,2015-11-04 09:25:00,2015-11-04 09:21:00,9.6e-07 W / m2
41,2015-11-04 10:35:00,2015-11-04,C1.1,"(0, 0)",12443,2015-11-04 10:32:00,2015-11-04 10:28:00,1.1e-06 W / m2
42,2015-11-04 12:06:00,2015-11-04,M2.5,"(0, 0)",12445,2015-11-04 12:03:00,2015-11-04 11:55:00,2.5e-05 W / m2
43,2015-11-04 14:13:00,2015-11-04,M3.7,"(0, 0)",12443,2015-11-04 13:52:00,2015-11-04 13:31:00,3.7e-05 W / m2
44,2015-11-04 22:58:00,2015-11-04,C1.0,"(0, 0)",12448,2015-11-04 22:53:00,2015-11-04 22:48:00,1e-06 W / m2
45,2015-11-05 20:26:00,2015-11-05,B7.5,"(0, 0)",12443,2015-11-05 20:09:00,2015-11-05 19:57:00,7.5e-07 W / m2
46,2015-11-06 09:25:00,2015-11-06,C1.0,"(0, 0)",12448,2015-11-06 09:19:00,2015-11-06 09:00:00,1e-06 W / m2
47,2015-11-06 09:46:00,2015-11-06,C1.1,"(0, 0)",0,2015-11-06 09:42:00,2015-11-06 09:40:00,1.1e-06 W / m2
48,2015-11-06 14:54:00,2015-11-06,C1.8,"(-88, -14)",12449,2015-11-06 14:46:00,2015-11-06 14:35:00,1.8e-06 W / m2
