,ar_noaanum,ar_mcintoshcls,search_frm_name,search_instrument,search_observatory,sharp_noaa_ars,obs_instrument,obs_lastprocessingdate,obs_levelnum,obs_meanwavel,obs_observatory,obs_title,obs_wavelunit,event_coord1,event_coord2,boundbox_c1ll,boundbox_c1ur,hrc_bbox,hrc_boundcc,hrc_coord,hgc_bbox,hgc_boundcc,hgc_coord,hgc_x,hgc_y,hgs_bbox,hgs_boundcc,hgs_coord,hgs_x,hgs_y,hpc_bbox,hpc_boundcc,hpc_coord,hpc_geom,hpc_radius,hpc_x,hpc_y,hrc_a,hrc_bbox,hrc_boundcc,hrc_coord,hrc_r
0,11302.0,FKC,SWPC,nil,nil,,various,,,5e-05,various,,cm,29.0,13.0,20.5,37.5,"POLYGON((0.360181 287.591202,0.609445 281.861258,0.610751 283.350348,0.364093 290.026248,0.360181 287.591202))",,POINT(0.490217325351374 284.635996434168),"POLYGON((-88.92848 12.545004,-71.92848 12.545004,-71.92848 13.454996,-88.92848 13.454996,-88.92848 12.545004))",,POINT(-80.42848 13),-80.42848,13.0,"POLYGON((20.5 12.545004,37.5 12.545004,37.5 13.454996,20.5 13.454996,20.5 12.545004))",,POINT(29 13),29.0,13.0,"POLYGON((329.0172 104.3148,571.5552 120.042,569.4612 135.1434,327.8106 119.4834,329.0172 104.3148))",,POINT(454.527 118.7004),01030000000100000005000000DCD7817346907440F931E6AE25145A40EA95B20C71DC8140A69BC420B0025E405227A089B0CB8140E3C798BB96E4604034A2B437F87C7440BBB88D06F0DE5D40DCD7817346907440F931E6AE25145A40,469.770772493521577,454.527,118.7004,284.635996434,"POLYGON((0.360181 287.591202,0.609445 281.861258,0.610751 283.350348,0.364093 290.026248,0.360181 287.591202))",,POINT(0.490217325351374 284.635996434168),0.490217325351
1,11305.0,DSO,SWPC,nil,nil,,various,,,5e-05,various,,cm,-1.0,12.0,-3.5,1.5,"POLYGON((0.106221 34.426149,0.091154 343.591651,0.100158 345.132977,0.114004 31.715113,0.106221 34.426149))",,POINT(0.0936859171661109 10.5482510441022),"POLYGON((-112.92848 11.731856,-107.92848 11.731856,-107.92848 12.268144,-112.92848 12.268144,-112.92848 11.731856))",,POINT(-110.42848 12),-110.42848,12.0,"POLYGON((-3.5 11.731856,1.5 11.731856,1.5 12.268144,-3.5 12.268144,-3.5 11.731856))",,POINT(-1 12),-1.0,12.0,"POLYGON((-57.54642 83.9622,24.67542 83.7948,24.62628 92.7672,-57.43182 92.9352,-57.54642 83.9622))",,POINT(-16.43514 88.2612),01030000000100000005000000AEF02E17F1C54CC0840D4FAF94FD544077103B53E8AC384017B7D100DEF254408E23D6E253A03840705F07CE193157401EE1B4E045B74CC007CE1951DA3B5740AEF02E17F1C54CC0840D4FAF94FD5440,89.7783562572828657,-16.43514,88.2612,10.5482510441,"POLYGON((0.106221 34.426149,0.091154 343.591651,0.100158 345.132977,0.114004 31.715113,0.106221 34.426149))",,POINT(0.0936859171661109 10.5482510441022),0.0936859171661
2,11307.0,CSO,SWPC,nil,nil,,various,,,5e-05,various,,cm,-48.0,14.0,-53.0,-43.0,"POLYGON((0.795947 77.545069,0.682391 76.702323,0.68246 76.611698,0.795975 77.467223,0.795947 77.545069))",,POINT(0.74181930944741 77.183691861618),"POLYGON((-162.42848 13.96906,-152.42848 13.96906,-152.42848 14.03094,-162.42848 14.03094,-162.42848 13.96906))",,POINT(-157.42848 14),-157.42848,14.0,"POLYGON((-53 13.96906,-43 13.96906,-43 14.03094,-53 14.03094,-53 13.96906))",,POINT(-48 14),-48.0,14.0,"POLYGON((-744.798 164.5032,-636.396 150.4104,-636.222 151.4322,-744.6 165.5208,-744.798 164.5032))",,POINT(-693.168 157.6914),01030000000100000005000000AAF1D24D624687C01CEBE2361A906440BA490C022BE383C0E9482EFF21CD6240B29DEFA7C6E183C0992A1895D4ED6240CDCCCCCCCC4487C038F8C264AAB06440AAF1D24D624687C01CEBE2361A906440,710.878649178578144,-693.168,157.6914,77.1836918616,"POLYGON((0.795947 77.545069,0.682391 76.702323,0.68246 76.611698,0.795975 77.467223,0.795947 77.545069))",,POINT(0.74181930944741 77.183691861618),0.741819309447
3,11306.0,HSX,SWPC,nil,nil,,various,,,5e-05,various,,cm,-20.0,13.0,-20.5,-19.5,"POLYGON((0.360351 72.293987,0.344863 71.590347,0.348643 69.295103,0.363898 70.086227,0.360351 72.293987))",,POINT(0.354382944486014 70.8199984595107),"POLYGON((-129.92848 12.58747,-128.92848 12.58747,-128.92848 13.41253,-129.92848 13.41253,-129.92848 12.58747))",,POINT(-129.42848 13),-129.42848,13.0,"POLYGON((-20.5 12.58747,-19.5 12.58747,-19.5 13.41253,-20.5 13.41253,-20.5 12.58747))",,POINT(-20 13),-20.0,13.0,"POLYGON((-328.9626 105.0234,-313.566 104.3682,-312.5232 118.1232,-327.8688 118.776,-328.9626 105.0234))",,POINT(-320.751 111.5718),0103000000010000000500000013F241CF668F74C07DAEB6627F415A40931804560E9973C0C898BB9690175A404694F6065F8873C080B74082E2875D403D2CD49AE67D74C08B6CE7FBA9B15D4013F241CF668F74C07DAEB6627F415A40,339.60192955317558,-320.751,111.5718,70.8199984595,"POLYGON((0.360351 72.293987,0.344863 71.590347,0.348643 69.295103,0.363898 70.086227,0.360351 72.293987))",,POINT(0.354382944486014 70.8199984595107),0.354382944486
4,11301.0,HSX,SWPC,nil,nil,,various,,,5e-05,various,,cm,76.0,16.0,75.5,76.5,"POLYGON((0.963735 284.562659,0.968084 284.611759,0.967989 285.03796,0.963646 284.990804,0.963735 284.562659))",,POINT(0.965896306081552 284.800240646217),"POLYGON((-33.92848 15.793736,-32.92848 15.793736,-32.92848 16.206264,-33.92848 16.206264,-33.92848 15.793736))",,POINT(-33.42848 16),-33.42848,16.0,"POLYGON((75.5 15.793736,76.5 15.793736,76.5 16.206264,75.5 16.206264,75.5 15.793736))",,POINT(76 16),76.0,16.0,"POLYGON((893.868 232.2132,897.702 234.0306,895.848 240.678,892.026 238.8642,893.868 232.2132))",,POINT(894.9 236.4468),010300000001000000050000006DE7FBA9F1EE8B403B70CE88D2066D40560E2DB29D0D8C403EE8D9ACFA406D40105839B4C8FE8B4004560E2DB2156E4091ED7C3F35E08B408126C286A7DB6D406DE7FBA9F1EE8B403B70CE88D2066D40,925.609582507787081,894.9,236.4468,284.800240646,"POLYGON((0.963735 284.562659,0.968084 284.611759,0.967989 285.03796,0.963646 284.990804,0.963735 284.562659))",,POINT(0.965896306081552 284.800240646217),0.965896306082
5,11305.0,DSO,SWPC,nil,nil,,various,,,5e-05,various,,cm,12.0,12.0,9.0,15.0,"POLYGON((0.177872 300.101102,0.270585 289.808224,0.273694 291.8555,0.18292 302.918702,0.177872 300.101102))",,POINT(0.225470965193524 295.030730628854),"POLYGON((-113.62415 11.707792,-107.62415 11.707792,-107.62415 12.292208,-113.62415 12.292208,-113.62415 11.707792))",,POINT(-110.62415 12),-110.62415,12.0,"POLYGON((9 11.707792,15 11.707792,15 12.292208,9 12.292208,9 11.707792))",,POINT(12 12),12.0,12.0,"POLYGON((147.5094 85.512,244.0284 87.8952,243.4986 97.6662,147.189 95.289,147.5094 85.512))",,POINT(195.831 91.4454),01030000000100000005000000A3923A014D70624054E3A59BC46055409BE61DA7E8806E4045D8F0F44AF9554024B9FC87F46F6E4018265305A36A5840355EBA490C666240D122DBF97ED25740A3923A014D70624054E3A59BC4605540,216.129687322588808,195.831,91.4454,295.030730629,"POLYGON((0.177872 300.101102,0.270585 289.808224,0.273694 291.8555,0.18292 302.918702,0.177872 300.101102))",,POINT(0.225470965193524 295.030730628854),0.225470965194
6,11302.0,FKC,SWPC,nil,nil,,various,,,5e-05,various,,cm,41.0,16.0,33.0,49.0,"POLYGON((0.554344 288.153911,0.754466 284.833189,0.7554 286.027265,0.557135 289.746877,0.554344 288.153911))",,POINT(0.660726260100819 286.699088265629),"POLYGON((-89.62415 15.548796,-73.62415 15.548796,-73.62415 16.451204,-89.62415 16.451204,-89.62415 15.548796))",,POINT(-81.62415 16),-81.62415,16.0,"POLYGON((33 15.548796,49 15.548796,49 16.451204,33 16.451204,33 15.548796))",,POINT(41 16),41.0,16.0,"POLYGON((504.927 165.5616,699.108 185.1456,695.958 199.9212,502.6476 180.438,504.927 165.5616))",,POINT(606.642 181.9908),0103000000010000000500000046B6F3FDD48E7F40E02D90A0F8B16440BE9F1A2FDDD8854086C954C1A82467408B6CE7FBA9BF854068226C787AFD68403C4ED1915C6A7F40BC749318048E664046B6F3FDD48E7F40E02D90A0F8B16440,633.352324894003914,606.642,181.9908,286.699088266,"POLYGON((0.554344 288.153911,0.754466 284.833189,0.7554 286.027265,0.557135 289.746877,0.554344 288.153911))",,POINT(0.660726260100819 286.699088265629),0.660726260101
7,11308.0,HSX,SWPC,nil,nil,,various,,,5e-05,various,,cm,-55.0,-25.0,-55.5,-54.5,"POLYGON((0.890484 123.024881,0.883777 123.427426,0.881765 122.782327,0.888575 122.381859,0.890484 123.024881))",,POINT(0.886168788093552 122.90286650102),"POLYGON((-178.12415 -25.309396,-177.12415 -25.309396,-177.12415 -24.690604,-178.12415 -24.690604,-178.12415 -25.309396))",,POINT(-177.62415 -25),-177.62415,-25.0,"POLYGON((-55.5 -25.309396,-54.5 -25.309396,-54.5 -24.690604,-55.5 -24.690604,-55.5 -25.309396))",,POINT(-55 -25),-55.0,-25.0,"POLYGON((-715.68 -465.21,-707.028 -466.6848,-710.616 -457.6506,-719.31 -456.1686,-715.68 -465.21))",,POINT(-713.196 -461.4378),010300000001000000050000003D0AD7A3705D86C08FC2F5285C137DC04E621058391886C0D044D8F0F42A7DC0B0726891ED3486C071AC8BDB689A7CC014AE47E17A7A86C0B1E1E995B2827CC03D0AD7A3705D86C08FC2F5285C137DC0,849.454753171020911,-713.196,-461.4378,122.902866501,"POLYGON((0.890484 123.024881,0.883777 123.427426,0.881765 122.782327,0.888575 122.381859,0.890484 123.024881))",,POINT(0.886168788093552 122.90286650102),0.886168788094
8,11307.0,DRO,SWPC,nil,nil,,various,,,5e-05,various,,cm,-37.0,14.0,-42.0,-32.0,"POLYGON((0.670063 76.517122,0.53609 74.375178,0.536245 74.261025,0.670142 76.424898,0.670063 76.517122))",,POINT(0.605128592745905 75.5988554439967),"POLYGON((-164.62415 13.96906,-154.62415 13.96906,-154.62415 14.03094,-164.62415 14.03094,-164.62415 13.96906))",,POINT(-159.62415 14),-159.62415,14.0,"POLYGON((-42 13.96906,-32 13.96906,-32 14.03094,-42 14.03094,-42 13.96906))",,POINT(-37 14),-37.0,14.0,"POLYGON((-624.6 149.7558,-494.8896 138.4068,-494.7558 139.4328,-624.432 150.7788,-624.6 149.7558))",,POINT(-561.8316 144.2658),01030000000100000005000000CDCCCCCCCC8483C0234A7B832FB8624058A835CD3BEE7EC069006F81044D614012A5BDC117EC7EC0AEB6627FD96D6140FA7E6ABC748383C0FE43FAEDEBD86240CDCCCCCCCC8483C0234A7B832FB86240,580.058072789440757,-561.8316,144.2658,75.598855444,"POLYGON((0.670063 76.517122,0.53609 74.375178,0.536245 74.261025,0.670142 76.424898,0.670063 76.517122))",,POINT(0.605128592745905 75.5988554439967),0.605128592746
9,11306.0,HSX,SWPC,nil,nil,,various,,,5e-05,various,,cm,-7.0,14.0,-7.5,-6.5,"POLYGON((0.178539 45.501114,0.166725 41.486219,0.172036 39.854069,0.183478 43.853303,0.178539 45.501114))",,POINT(0.175070546065663 42.7303129108039),"POLYGON((-130.12415 13.793736,-129.12415 13.793736,-129.12415 14.206264,-130.12415 14.206264,-130.12415 13.793736))",,POINT(-129.62415 14),-129.62415,14.0,"POLYGON((-7.5 13.793736,-6.5 13.793736,-6.5 14.206264,-7.5 14.206264,-7.5 13.793736))",,POINT(-7 14),-7.0,14.0,"POLYGON((-122.0694 119.9526,-105.8694 119.7216,-105.6792 126.597,-121.8498 126.8274,-122.0694 119.9526))",,POINT(-113.8722 123.2712),01030000000100000005000000EA95B20C71845EC0DB8AFD65F7FC5D401DC9E53FA4775AC0CA32C4B12EEE5D405DDC4603786B5AC091ED7C3F35A65F4003098A1F63765EC0772D211FF4B45F40EA95B20C71845EC0DB8AFD65F7FC5D40,167.81736108722481,-113.8722,123.2712,42.7303129108,"POLYGON((0.178539 45.501114,0.166725 41.486219,0.172036 39.854069,0.183478 43.853303,0.178539 45.501114))",,POINT(0.175070546065663 42.7303129108039),0.175070546066
